"","sample-1","sample-2","sample-3","sample-4","sample-5","sample-6","sample-7","sample-8","sample-9","sample-10","sample-11","sample-12","sample-13","sample-14","sample-15","sample-16","sample-17","sample-18","sample-19","sample-20","sample-21","sample-22","sample-23","sample-24","sample-25","sample-26","sample-27","sample-28","sample-29","sample-30","sample-31","sample-32","sample-33","sample-34","sample-35","sample-36","sample-37","sample-38","sample-39","sample-40","sample-41","sample-42","sample-43","sample-44"
"Actinomycetaceae",60.909590878572,65.3375753823062,72.3048724502114,67.2013515219603,58.704302054941,66.5011206218494,72.6143945067421,86.7100878784646,71.6269677467615,82.4501673515419,60.9909791327215,63.5701451930938,67.9421175843373,68.553801662642,67.4326142332113,71.6773012328183,71.6245699323381,71.4563022051699,76.8482819777213,69.5096426258541,57.0782353859664,68.225639806527,67.8459139969218,64.5416455713811,59.2522435498216,62.5734591465361,68.4854562016998,65.6670629513947,60.9253180714568,58.7621781692468,56.0917216792474,60.6448947629986,57.5077892559823,66.1375547862274,59.555856499834,62.7440859485345,63.8435647932354,57.7452245435342,74.7023115333187,72.9177494878556,58.2426464220464,68.1880160117538,63.1107553689461,68.1141406696807
"Aerococcus",69.4516053821391,69.015893897361,64.8061414422479,56.6382762850724,76.3897850898169,58.1266953103817,76.4653961625708,83.9673378982857,72.0858724717918,58.8660357997846,69.3032005798717,60.3807731041956,74.8200037866369,80.0667374945077,62.092631934927,64.975419025703,62.9704128458756,71.0009612086996,83.4328925462572,76.2258165817542,61.143959256591,54.2409509876036,72.461497776617,62.3332123189377,74.150831432129,69.7144869642361,60.3642284607099,61.2633469137668,58.8647522136433,60.553928353947,61.8813804723984,67.4632395282143,56.0590284370613,69.4942668657982,68.3902080154118,89.5106913676537,72.9822417441843,86.7097457043329,63.3046195503842,60.8574803069623,66.2098024975404,66.1243906688543,66.6554056717154,64.9616944730831
"Aeromonas",62.8233694063341,78.8103336744689,74.401731059445,80.8642190807265,63.5304525279686,63.3513743105477,69.9470754240554,63.2039108752734,72.8954515435373,73.7653466964461,70.209599993575,71.2147271300176,75.4185779164769,68.8937702700184,66.7227638298183,61.2434758441104,65.3279816079435,62.4066444167226,97.5851222532571,94.3604205998257,64.4026902595939,67.7068718070659,60.7136256863514,76.2505988883213,65.3103793391722,67.4112146312365,55.3527428067971,57.7622192314644,64.3523488490606,63.8123721301659,64.3563125217107,61.5627509462555,57.2604451844044,58.9598195044918,76.080160319333,88.0657259055082,63.0291080200838,64.0789185671313,63.0300740150092,61.766428766919,79.9947799880511,75.7139295310492,68.5651263514848,73.1765570716405
"Akkermansia",287.383765662356,248.970512066938,287.526726080346,242.579680200628,303.668433219388,479.547468976822,420.492845508116,338.969835203666,867.082606069281,396.994985719244,776.911221489614,713.470908965264,285.825646000581,335.299584976818,172.777144945252,203.642095769476,1306.01346123039,219.183222135388,377.330983313711,634.100517055597,616.111979554572,1513.7115112074,283.485664338745,199.73310277602,268.782673958044,206.141445148453,2933.4045780783,2630.23294543658,275.149303709288,349.861918500747,507.764865138353,474.17043321694,188.354450695843,177.653188906707,205.328910727479,292.065841961386,288.356085832243,312.984573007003,1537.17955249516,2477.46950405424,308.256157126322,403.798582500587,771.335033040937,405.813638145889
"Alcaligenes faecalis et rel.",61.6496704765211,58.0694219734508,75.1918677483742,57.3829616897126,56.5367324883916,54.9486324267963,60.4985674771467,62.540353697906,58.8450752423908,60.5251930005541,57.9622343849636,70.4602720482403,59.173110753311,57.2607967057261,58.0593762475066,60.6223261451083,58.7735895571571,60.074728232591,58.2854600840247,56.4286076478961,61.064452988396,65.9435205503873,65.7172313639081,56.6600953336869,58.8460955826363,60.9366588493806,73.5921536286865,66.1126349190401,54.9834212330394,56.5980592344591,54.3117982717528,53.2534309945203,54.6148332634272,54.8396245381539,55.8936601507406,57.3195943782996,58.7824250958373,55.5719020096745,53.3676440135874,52.8598804803124,56.2668569306365,55.1585814204745,61.396473673481,59.2104640559123
"Allistipes et rel.",231.997041672697,170.227603085541,257.518703236203,279.316100695949,340.126888749504,374.814925987014,161.65765553879,185.657625756635,107.012230909718,148.622617859065,252.309718985975,214.108708374204,291.079013048464,411.104844279681,188.054907639942,234.062801147523,520.346690704858,350.897475975118,311.328198806004,428.008668873242,220.203764426131,330.150617808773,408.045215022817,338.892899444221,276.310949866368,258.617597979017,650.896397713098,596.311808428146,334.939069264355,502.391017689603,294.056443720425,292.906862636853,152.00684017204,90.5731288132639,245.117909753505,110.312561019321,372.472033901378,159.836665363419,363.875700939499,320.977159398243,129.345415273288,132.519295377577,243.90949409903,245.220942397685
"Anaerobiospirillum",54.969131604004,65.845907290614,57.8766483116763,71.4306469330473,55.9816261015602,55.3848038594997,65.3206168071641,61.4657810592465,58.3624018044619,64.2609369216067,56.8497814978373,82.8756786277054,63.98065308192,58.1469924390897,53.7265811647203,55.9231666526237,66.58602617104,58.5420345572776,66.7475977243206,63.2412508745682,57.2473752515522,60.4466005675652,56.3868050812068,70.4980290288583,55.5283384968411,58.6254057767964,56.4990074752454,54.8496637360762,56.2709165124746,53.0444596641622,54.0247430021178,54.9180351923057,56.7009124670895,53.6039648824169,57.5660469415201,57.1820960439865,57.2345576247722,60.3178093522822,52.4358210810115,55.3405733046852,59.1581556304012,57.0151391558458,59.5805691426654,72.2615857079522
"Anaerofustis",82.6742573126251,92.8472296180232,83.26439188548,86.6026337524598,83.2300063590028,87.4442631844164,92.9521063165471,95.1858098088166,109.291901777441,102.428873942784,91.4543001316518,100.353510428078,99.2240942516116,111.17145910213,74.7592499075089,74.6130605505462,166.73954361439,141.812383236431,238.091761257221,253.843958286381,79.2682125946331,76.797736264497,87.0372447267898,92.1970216967625,86.2844519660703,87.2015965217965,73.542866083564,67.8335527233833,77.871711562526,77.3805809048246,83.9144771580809,88.8175014592427,76.4660844237407,80.9775729361607,98.4303682377972,126.303727184841,78.656224727952,86.7437390467322,82.093058324398,82.0325139391971,108.392115865327,90.4010414297987,74.7933632224757,76.1611285623036
"Anaerostipes caccae et rel.",422.784740604216,682.049090779357,448.337427757889,375.547817424866,591.758931085449,567.755487755887,552.816699775328,462.853667511417,865.23120410009,967.256561354989,659.178240958807,399.832053651151,740.431587533322,704.8339849889,498.137690552059,375.855511771559,676.327176652482,559.458684554958,750.271183227974,669.5376745473,399.32957756534,346.592327905055,486.160464695138,473.216491327858,590.578769878014,499.176154022764,366.398600997797,762.088155986169,412.239315349422,321.471063920515,710.398651187453,642.204479464762,507.346801493025,564.271030156856,883.656841928453,720.126357512431,401.237907991827,551.428168463027,308.368675254275,348.358588155775,901.941386945496,746.632537209058,417.814886085028,409.405371815078
"Anaerotruncus colihominis et rel.",72.8401561073892,116.953647200462,127.070828055064,151.32295979893,105.159285604673,112.431428436151,216.924154723243,215.269556266319,98.3775668320403,92.5265736276661,153.824548102034,177.940735643857,130.233078378876,121.264960551856,193.67173729982,196.150475893919,208.169941858407,191.250649800133,83.311132793217,98.8881526101923,166.498078535752,212.414909290094,106.663522378074,82.9311129154039,84.2542052432941,82.1965695891624,155.511427663108,130.298430800546,114.581121375486,120.399913821774,135.503183607326,145.073875073254,136.543089889856,132.86782740733,86.2941836430531,76.6470700030966,135.562190828838,157.334875611672,166.126317857446,146.487016793414,156.610688943896,120.331561428523,94.1282232604864,127.104526111646
