,Actinomycetaceae,Aerococcus,Aeromonas,Akkermansia,Alcaligenes faecalis et rel.,Allistipes et rel.,Anaerobiospirillum,Anaerofustis,Anaerostipes caccae et rel.,Anaerotruncus colihominis et rel.,Anaerovorax odorimutans et rel.,Aneurinibacillus,Aquabacterium,Asteroleplasma et rel.,Atopobium,Bacillus,Bacteroides fragilis et rel.,Bacteroides intestinalis et rel.,Bacteroides ovatus et rel.,Bacteroides plebeius et rel.,Bacteroides splachnicus et rel.,Bacteroides stercoris et rel.,Bacteroides uniformis et rel.,Bacteroides vulgatus et rel.,Bifidobacterium,Bilophila et rel.,Brachyspira,Bryantella formatexigens et rel.,Bulleidia moorei et rel.,Burkholderia,Butyrivibrio crossotus et rel.,Campylobacter,Catenibacterium mitsuokai et rel.,Clostridium (sensu stricto),Clostridium cellulosi et rel.,Clostridium colinum et rel.,Clostridium difficile et rel.,Clostridium felsineum et rel.,Clostridium leptum et rel.,Clostridium nexile et rel.,Clostridium orbiscindens et rel.,Clostridium ramosum et rel.,Clostridium sphenoides et rel.,Clostridium stercorarium et rel.,Clostridium symbiosum et rel.,Clostridium thermocellum et rel.,Collinsella,Coprobacillus catenaformis et rel.,Coprococcus eutactus et rel.,Corynebacterium,Desulfovibrio et rel.,Dialister,Dorea formicigenerans et rel.,Eggerthella lenta et rel.,Enterobacter aerogenes et rel.,Enterococcus,Escherichia coli et rel.,Eubacterium biforme et rel.,Eubacterium cylindroides et rel.,Eubacterium hallii et rel.,Eubacterium limosum et rel.,Eubacterium rectale et rel.,Eubacterium siraeum et rel.,Eubacterium ventriosum et rel.,Faecalibacterium prausnitzii et rel.,Fusobacteria,Gemella,Granulicatella,Haemophilus,Helicobacter,Klebisiella pneumoniae et rel.,Lachnobacillus bovis et rel.,Lachnospira pectinoschiza et rel.,Lactobacillus catenaformis et rel.,Lactobacillus gasseri et rel.,Lactobacillus plantarum et rel.,Lactobacillus salivarius et rel.,Lactococcus,Leminorella,Megamonas hypermegale et rel.,Megasphaera elsdenii et rel.,Methylobacterium,Micrococcaceae,Mitsuokella multiacida et rel.,Moraxellaceae,Novosphingobium,Oceanospirillum,Oscillospira guillermondii et rel.,Outgrouping clostridium cluster XIVa,Oxalobacter formigenes et rel.,Papillibacter cinnamivorans et rel.,Parabacteroides distasonis et rel.,Peptococcus niger et rel.,Peptostreptococcus anaerobius et rel.,Peptostreptococcus micros et rel.,Phascolarctobacterium faecium et rel.,Prevotella melaninogenica et rel.,Prevotella oralis et rel.,Prevotella ruminicola et rel.,Prevotella tannerae et rel.,Propionibacterium,Proteus et rel.,Pseudomonas,Roseburia intestinalis et rel.,Ruminococcus bromii et rel.,Ruminococcus callidus et rel.,Ruminococcus gnavus et rel.,Ruminococcus lactaris et rel.,Ruminococcus obeum et rel.,Serratia,Sporobacter termitidis et rel.,Staphylococcus,Streptococcus bovis et rel.,Streptococcus intermedius et rel.,Streptococcus mitis et rel.,Subdoligranulum variable at rel.,Sutterella wadsworthia et rel.,Tannerella et rel.,Uncultured Bacteroidetes,Uncultured Chroococcales,Uncultured Clostridiales I,Uncultured Clostridiales II,Uncultured Mollicutes,Uncultured Selenomonadaceae,Veillonella,Weissella et rel.,Vibrio,Wissella et rel.,Xanthomonadaceae,Yersinia et rel.
Actinomycetaceae,1.0,0.37998590556730094,0.4652572233967583,0.29978858350951376,0.639323467230444,0.1003523608174771,0.6745595489781536,0.47033121916842846,0.06257928118393234,0.3358703312191684,0.29584214235377027,0.32515856236786467,0.6007047216349541,0.7334742776603241,0.24693446088794926,0.5719520789288232,-0.08555320648343905,0.014940098661028894,-0.0861169837914024,0.03269908386187456,-0.09866102889358704,-0.07935165609584215,-0.15673009161381254,-0.12219873150105708,0.015785764622973927,0.7457364341085271,0.7251585623678647,0.30204369274136716,0.22452431289640593,0.5004933051444679,0.06920366455250176,0.7489781536293164,-0.006765327695560253,0.3878787878787879,0.11120507399577167,0.11261451726568006,-0.058632840028188866,0.5291050035236081,0.23058491895701197,0.09020436927413672,0.2603241719520789,0.34474982381959124,0.31937984496124033,0.4834390415785765,0.36941508104298804,0.7616631430584919,-0.07808315715292459,0.24186046511627907,0.05313601127554616,0.733615221987315,0.7439041578576462,0.26370683579985904,0.23002114164904863,0.648062015503876,0.42396053558844254,0.5987315010570825,0.4677942212825934,-0.30119802677942215,0.4952783650458069,-0.009584214235377026,0.4873854827343199,-0.14263565891472868,0.15884425651867512,0.07357293868921776,-0.23749119097956306,0.7048625792811839,0.4156448202959831,0.2727272727272727,0.05736434108527132,0.7450317124735729,0.3671599718111346,-0.12586328400281888,-0.09006342494714588,0.6050739957716702,0.6789288231148696,0.6376321353065539,0.4573643410852713,0.142353770260747,0.4558139534883721,0.8651162790697674,0.5842142353770261,0.5515151515151515,0.719661733615222,0.610429880197322,0.7875968992248062,0.6631430584918957,0.7198026779422129,0.17603946441155743,-0.0507399577167019,0.4267794221282593,0.2615926708949965,-0.1127554615926709,0.07794221282593376,0.6482029598308668,0.6900634249471459,0.2894996476391825,-0.12205778717406625,-0.1010570824524313,0.041014799154334036,-0.05003523608174771,0.7312191684284708,0.6021141649048626,0.10810429880197323,-0.024101479915433405,0.06441155743481325,0.19732205778717407,-0.16983791402396053,0.13023255813953488,0.20549682875264272,-0.010852713178294573,0.1405214940098661,0.7110641296687809,0.3090909090909091,0.39830866807610993,0.3463002114164905,0.302184637068358,0.4241014799154334,0.15123326286116984,0.19506694855532064,0.5501057082452431,0.003664552501761804,0.23579985905567302,0.12868217054263567,0.4390415785764623,0.21367159971811134,0.37561663143058494,0.36673713883016207,0.22762508809020437,0.4284707540521494,0.6208597603946441
Aerococcus,0.37998590556730094,1.0,0.47780126849894294,0.02255109231853418,0.43439041578576465,-0.07935165609584215,0.44862579281183934,0.638477801268499,0.39985905567300917,-0.10049330514446793,0.1770260747004933,0.5632135306553911,0.3926708949964764,0.5340380549682875,0.06201550387596899,0.6513037350246652,-0.09908386187455955,-0.06638477801268498,-0.08400281888653982,-0.03199436222692037,-0.12177589852008457,-0.08823114869626497,-0.3949260042283298,-0.2080338266384778,-0.4069062720225511,0.4896405919661734,0.4400281888653982,0.5420718816067653,-0.07526427061310782,0.47258632840028186,0.20606060606060606,0.38097251585623676,0.09908386187455955,-0.0033826638477801266,-0.16391825229034532,0.47681465821000707,-0.05919661733615222,0.20577871740662437,-0.05553206483439042,0.10584918957011981,0.1715292459478506,0.586892177589852,0.47963354474982384,0.2525722339675828,0.5058491895701198,0.34249471458773784,-0.15785764622973925,0.42748414376321353,0.2470754052149401,0.5245947850599013,0.32600422832980974,-0.04763918252290345,0.5946441155743482,0.16518675123326287,0.2849894291754757,0.7009161381254404,0.3815362931642001,-0.2525722339675828,0.4635658914728682,0.2659619450317125,0.7395348837209302,0.2983791402396054,-0.00718816067653277,0.4590556730091614,-0.05496828752642706,0.4773784355179704,0.6434108527131783,0.9081042988019732,0.10542635658914729,0.41550387596899224,0.1916842847075405,0.06765327695560254,0.29034531360112753,0.4772374911909796,0.5212121212121212,0.4339675828047921,0.5567300916138126,0.28118393234672306,0.44778012684989427,0.34770965468639886,0.29245947850599013,0.4525722339675828,0.5489781536293165,0.2339675828047921,0.4303030303030303,0.46624383368569416,0.39112050739957716,-0.10909090909090909,0.3981677237491191,0.1324876673713883,0.27329105003523607,-0.02241014799154334,-0.1733615221987315,0.5658914728682171,0.46370683579985905,0.23030303030303031,-0.1839323467230444,-0.1821000704721635,-0.19281183932346724,-0.0284707540521494,0.5006342494714587,0.45496828752642704,0.15348837209302327,-0.1463002114164905,-0.31331923890063423,-0.09978858350951374,0.24200140944326992,0.3331923890063425,0.596476391825229,0.0861169837914024,-0.1416490486257928,0.5479915433403806,0.5385482734319944,0.6040873854827343,0.5560253699788583,-0.16744186046511628,0.24665257223396758,0.039746300211416494,0.14545454545454545,0.4580690627202255,-0.27061310782241016,-0.28484848484848485,-0.12149400986610288,0.07470049330514447,0.24031007751937986,0.5706835799859056,0.36053558844256517,0.4335447498238196,0.36363636363636365,0.34277660324171955
Aeromonas,0.4652572233967583,0.47780126849894294,1.0,0.0525722339675828,0.45088090204369274,-0.1795630725863284,0.704721634954193,0.6613107822410148,0.42466525722339676,-0.1237491190979563,0.22945736434108527,0.46370683579985905,0.6916138125440451,0.6049330514446793,0.15024665257223396,0.6814658210007047,-0.02635658914728682,-0.2507399577167019,-0.035377026074700495,0.03495419309372798,-0.17899929527836506,-0.25609584214235376,-0.17392529950669486,-0.37392529950669484,-0.06539816772374912,0.6593375616631431,0.6207188160676532,0.6097251585623679,-0.030303030303030304,0.5532064834390416,0.0346723044397463,0.6014094432699084,-0.045243128964059194,0.31444679351656096,-0.19647639182522902,0.1678646934460888,-0.06300211416490487,0.5364341085271318,-0.054827343199436225,0.08992248062015504,0.14404510218463706,0.49556025369978857,0.44778012684989427,0.6369274136715998,0.7227625088090205,0.5980267794221282,-0.17871740662438337,0.4266384778012685,0.3595489781536293,0.6761099365750528,0.5973220577871741,0.10599013389711064,0.5501057082452431,0.20902043692741368,0.4817477096546864,0.711768851303735,0.3147286821705426,-0.3905567300916138,0.7121916842847076,0.10866807610993658,0.5515151515151515,0.08949964763918253,-0.08372093023255814,0.2652572233967583,0.008315715292459478,0.6668076109936575,0.5485553206483439,0.38266384778012685,0.0222692036645525,0.6825933756166315,0.3403805496828753,-0.015503875968992248,0.09964763918252291,0.5577167019027485,0.37279774489076817,0.6583509513742072,0.3835095137420719,0.2590556730091614,0.5874559548978153,0.4670894996476392,0.481183932346723,0.5626497533474277,0.6459478505990134,0.3736434108527132,0.5754756871035941,0.6404510218463707,0.48146582100070473,-0.320507399577167,0.1952078928823115,0.3107822410147992,0.4670894996476392,-0.008315715292459478,-0.18167723749119097,0.5839323467230444,0.617477096546864,0.18787878787878787,-0.2780831571529246,-0.1678646934460888,-0.17632135306553912,-0.32459478505990136,0.6222692036645525,0.7069767441860465,0.1346018322762509,0.027343199436222692,-0.27864693446088795,-0.013671599718111346,0.19985905567300916,0.3028893587033122,0.5627906976744186,-0.0587737843551797,-0.17054263565891473,0.7767441860465116,0.30429880197322057,0.4854122621564482,0.40563777307963356,-0.1901338971106413,0.4842847075405215,-0.09556025369978859,0.015503875968992248,0.440169133192389,-0.22438336856941507,-0.17477096546863988,-0.17279774489076816,0.32966878083157153,0.33967582804792107,0.4634249471458774,0.36955602536997884,0.34587737843551797,0.6001409443269908,0.6283298097251586
Akkermansia,0.29978858350951376,0.02255109231853418,0.0525722339675828,1.0,0.2018322762508809,0.40577871740662436,0.12389006342494714,0.05821000704721635,0.0052149400986610285,0.23565891472868217,0.5188160676532769,0.19943622269203665,-0.0828752642706131,0.1481324876673714,0.36335447498238194,0.20394644115574348,0.07892882311486962,0.14827343199436221,-0.037068357998590554,0.10951374207188161,-0.02649753347427766,0.20155038759689922,0.19830866807610995,0.0054968287526427064,0.1949260042283298,0.18421423537702608,0.1463002114164905,-0.21198026779422127,0.014517265680056377,-0.08907681465821,-0.1843551797040169,0.1832276250880902,-0.3802677942212826,0.22494714587737843,0.37829457364341085,0.07258632840028188,-0.09189570119802679,0.2390415785764623,0.6350951374207188,-0.09823819591261451,0.5678646934460888,0.06215644820295983,-0.09556025369978859,0.33121916842847077,-0.050458069062720226,0.2255109231853418,-0.050458069062720226,-0.022692036645525018,-0.06723044397463002,0.1408033826638478,0.14940098661028894,0.18012684989429176,0.027061310782241013,0.34587737843551797,0.29640591966173363,0.16152219873150106,0.25961945031712474,-0.3368569415081043,0.22875264270613108,0.3279774489076815,0.28851303735024664,-0.37561663143058494,0.492600422832981,0.03861874559548978,-0.5866102889358703,0.04820295983086681,0.07131782945736434,0.003946441155743482,0.25651867512332627,0.195630725863284,0.2470754052149401,-0.3279774489076815,-0.2551092318534179,0.09541930937279774,0.28851303735024664,0.14996476391825228,0.5123326286116984,0.20902043692741368,0.14827343199436221,0.3515151515151515,-0.08273431994362226,0.15137420718816066,0.12755461592670894,0.046511627906976744,0.23819591261451725,0.05243128964059197,0.26553911205073993,0.41592670894996475,-0.28851303735024664,0.666384778012685,-0.3471458773784355,-0.1726568005637773,0.32642706131078225,0.11543340380549683,0.11261451726568006,-0.03791402396053559,-0.3295278365045807,-0.4828752642706131,-0.4028188865398168,0.02142353770260747,0.2379140239605356,0.17251585623678647,0.12093023255813953,-0.24862579281183933,0.280338266384778,0.09992952783650458,-0.13093727977448907,-0.2379140239605356,0.06892177589852008,0.26398872445384075,0.4263565891472868,0.12910500352360818,0.15813953488372093,0.054686398872445384,0.08273431994362226,0.4828752642706131,0.18985200845665962,0.15052854122621565,0.13629316420014095,0.27103594080338267,0.11698379140239605,0.44834390415785763,0.14249471458773785,0.32783650458069064,-0.21959126145172655,0.18054968287526427,0.3310782241014799,0.028611698379140238,-0.009161381254404511,0.16589147286821707
Alcaligenes faecalis et rel.,0.639323467230444,0.43439041578576465,0.45088090204369274,0.2018322762508809,1.0,0.11303735024665257,0.7151515151515152,0.29767441860465116,-0.013389711064129669,0.20902043692741368,0.25031712473572937,0.2277660324171952,0.5477096546863989,0.8264975334742777,0.27864693446088795,0.4608879492600423,0.11670190274841438,-0.21000704721634955,0.0014094432699083862,0.06765327695560254,0.06624383368569416,-0.24284707540521494,-0.13375616631430584,-0.11430584918957012,-0.14770965468639888,0.5922480620155038,0.7992952783650458,0.2828752642706131,0.2780831571529246,0.5289640591966174,0.26765327695560254,0.7983086680761099,-0.043410852713178294,0.5243128964059197,0.2496124031007752,0.2700493305144468,-0.04580690627202255,0.5933756166314306,0.2876673713883016,-0.18308668076109938,0.262861169837914,0.208738548273432,0.3024665257223397,0.302184637068358,0.2200140944326991,0.7788583509513742,0.16011275546159268,0.3041578576462297,0.12022551092318534,0.7689922480620155,0.6394644115574348,-0.013389711064129669,0.013107822410147992,0.25609584214235376,0.572938689217759,0.5262861169837914,0.536293164200141,-0.018604651162790697,0.4280479210711769,-0.1386892177589852,0.3829457364341085,0.09457364341085271,0.15701198026779423,0.24256518675123326,0.08879492600422834,0.8180408738548274,0.47470049330514447,0.2215644820295983,0.19224806201550387,0.7581395348837209,0.49429175475687104,-0.02241014799154334,-0.06878083157152924,0.7739252995066949,0.5547568710359408,0.650599013389711,0.5971811134601832,0.30599013389711066,0.6381959126145172,0.6372093023255814,0.5884425651867512,0.5591261451726568,0.7365750528541226,0.6536997885835095,0.8126849894291754,0.5708245243128964,0.6510218463706836,0.14404510218463706,-0.133615221987315,0.5406624383368569,0.2661028893587033,0.11289640591966173,-0.01536293164200141,0.6081747709654687,0.7471458773784355,0.43847780126849895,-0.009020436927413672,-0.039746300211416494,0.07159971811134602,-0.04312896405919662,0.6945736434108527,0.7131782945736435,0.2091613812544045,-0.007610993657505285,0.14432699083861875,0.17392529950669486,-0.09386892177589852,0.0631430584918957,0.048907681465821,0.08414376321353066,0.2441155743481325,0.6504580690627202,0.08343904157857646,0.16405919661733614,0.12783650458069062,0.20563777307963355,0.38886539816772375,0.06906272022551092,0.16405919661733614,0.6396053558844257,0.19238900634249473,0.24157857646229738,0.16546863988724453,0.15052854122621565,0.3711064129668781,0.36546863988724454,0.5587033121916842,0.42861169837914026,0.5293868921775898,0.6933051444679351
Allistipes et rel.,0.1003523608174771,-0.07935165609584215,-0.1795630725863284,0.40577871740662436,0.11303735024665257,1.0,0.018604651162790697,-0.045243128964059194,-0.2142353770260747,0.009866102889358703,0.05144467935165609,-0.12684989429175475,-0.19210711768851305,0.018886539816772376,0.01324876673713883,-0.07202255109231853,0.4076109936575053,0.42973925299506693,0.24171952078928824,0.5296687808315715,0.5020436927413672,0.5847780126849894,0.38661028893587035,0.5464411557434813,-0.015926708949964764,0.1040169133192389,0.1916842847075405,-0.2146582100070472,-0.022832980972515855,0.04425651867512333,0.040169133192389,0.1536293164200141,-0.21000704721634955,0.25821000704721636,-0.11050035236081748,0.08104298801973221,-0.13220577871740663,0.30035236081747707,0.11571529245947851,-0.4635658914728682,0.25130373502466524,0.14968287526427063,-0.3732205778717407,0.0383368569415081,-0.18717406624383368,0.10021141649048626,-0.13023255813953488,0.022692036645525018,-0.33798449612403103,0.09203664552501761,0.09654686398872446,-0.07568710359408033,-0.2603241719520789,0.0916138125440451,0.10232558139534884,-0.023819591261451726,-0.01930937279774489,-0.1675828047921071,0.04425651867512333,0.08668076109936575,0.053276955602537,-0.33276955602537,0.5914023960535588,-0.351092318534179,-0.36180408738548275,0.024101479915433405,0.019027484143763214,-0.15630725863284003,0.22283298097251586,0.14446793516560957,0.16109936575052855,-0.36631430584918956,-0.2792107117688513,0.07526427061310782,0.05595489781536293,-0.09400986610288936,0.20239605355884427,0.1777307963354475,0.07935165609584215,0.20098661028893586,-0.26539816772374913,0.23114869626497533,0.09880197322057788,-0.039041578576462295,0.16997885835095136,0.08949964763918253,0.17603946441155743,-0.028188865398167725,-0.29936575052854125,0.1832276250880902,-0.26257928118393237,0.5422128259337562,-0.13220577871740663,0.039041578576462295,0.0989429175475687,-0.21733615221987315,-0.18534178999295278,-0.24002818886539817,0.09203664552501761,0.5443269908386188,0.14531360112755462,0.016067653276955602,0.14066243833685693,-0.3634954193093728,0.011698379140239605,-0.12487667371388302,-0.23340380549682876,-0.3412262156448203,-0.16955602536997885,0.213107822410148,0.031007751937984496,-0.032135306553911204,0.07244538407329106,0.025933756166314305,0.0551092318534179,0.3474277660324172,0.12050739957716702,0.5364341085271318,0.45172656800563776,0.1726568005637773,0.40394644115574346,0.31092318534179,0.41916842847075403,-0.03312191684284708,0.08879492600422834,0.19140239605355885,0.33713883016208596,-0.11867512332628612,-0.24467935165609583,0.0828752642706131
Anaerobiospirillum,0.6745595489781536,0.44862579281183934,0.704721634954193,0.12389006342494714,0.7151515151515152,0.018604651162790697,1.0,0.5875968992248062,0.20958421423537701,0.258491895701198,0.3513742071881607,0.3926708949964764,0.684707540521494,0.7905567300916138,0.2962649753347428,0.6321353065539113,-0.008315715292459478,-0.18534178999295278,-0.04566596194503171,0.0569415081042988,-0.03622269203664553,-0.20535588442565186,-0.16899224806201552,-0.19873150105708245,-0.2879492600422833,0.7392529950669485,0.8980972515856237,0.49654686398872444,0.2,0.5725158562367865,0.24284707540521494,0.8851303735024665,-0.0551092318534179,0.34911909795630724,0.020859760394644114,0.41113460183227624,-0.1517970401691332,0.6264975334742776,0.1609584214235377,0.11374207188160676,0.2957011980267794,0.43453136011275545,0.43594080338266383,0.524876673713883,0.555461592670895,0.8579281183932347,0.059760394644115575,0.4263565891472868,0.29640591966173363,0.8050739957716702,0.7981677237491192,0.24693446088794926,0.37434813248766735,0.34813248766737137,0.5124735729386892,0.6231148696264975,0.46441155743481327,-0.24834390415785765,0.6439746300211416,-0.07540521494009866,0.5736434108527132,0.16293164200140944,0.039182522903453136,0.222692036645525,-0.010711768851303736,0.8498942917547568,0.6544045102184637,0.25243128964059197,0.09866102889358704,0.8675123326286117,0.42212825933756165,-0.014799154334038054,0.08118393234672304,0.7529245947850599,0.5551797040169133,0.7265680056377731,0.44242424242424244,0.3169837914023961,0.5671599718111346,0.715292459478506,0.6731501057082453,0.7523608174770966,0.808738548273432,0.7285412262156448,0.8411557434813248,0.6334038054968287,0.765045806906272,-0.026779422128259338,0.10091613812544045,0.3465821000704722,0.33121916842847077,0.0052149400986610285,0.009866102889358703,0.8272022551092318,0.9288231148696265,0.39647639182522904,-0.23735024665257223,-0.15898520084566597,-0.0383368569415081,-0.1365750528541226,0.7420718816067653,0.7434813248766737,0.19802677942212826,0.01127554615926709,-0.0014094432699083862,0.20126849894291754,0.09880197322057788,0.12572233967582805,0.3963354474982382,0.0015503875968992248,0.04904862579281184,0.8431289640591966,0.20972515856236787,0.36039464411557437,0.2775193798449612,0.010711768851303736,0.4276250880902044,0.10246652572233968,0.15658914728682172,0.6518675123326286,-0.08668076109936575,0.11360112755461593,-0.004369274136715997,0.3704016913319239,0.4146582100070472,0.5011980267794222,0.4918957011980268,0.48851303735024665,0.6658210007047216,0.727554615926709
Anaerofustis,0.47033121916842846,0.638477801268499,0.6613107822410148,0.05821000704721635,0.29767441860465116,-0.045243128964059194,0.5875968992248062,1.0,0.6718816067653277,-0.036081747709654687,0.30599013389711066,0.6651162790697674,0.6387596899224807,0.5749119097956307,-0.03269908386187456,0.8111346018322763,0.11303735024665257,-0.19408033826638477,0.05200845665961945,0.0675123326286117,-0.21141649048625794,-0.04622973925299507,-0.1338971106412967,-0.23918252290345313,-0.16279069767441862,0.5069767441860465,0.5701198026779423,0.610429880197322,0.024101479915433405,0.635799859055673,-0.15278365045806908,0.5269908386187456,0.04933051444679352,0.10782241014799154,-0.4319943622269204,0.23749119097956306,-0.12501761804087386,0.3682875264270613,-0.18491895701198027,0.34376321353065536,0.13516560958421422,0.7083861874559549,0.6040873854827343,0.4801973220577872,0.7957716701902748,0.4993657505285412,-0.4317124735729387,0.4559548978153629,0.21508104298801972,0.6011275546159267,0.6190274841437632,0.1854827343199436,0.7933756166314306,0.37434813248766735,0.48907681465821,0.7560253699788584,0.3945031712473573,-0.5369978858350951,0.7670190274841437,0.31952078928823113,0.7763213530655391,-0.012684989429175475,-0.1003523608174771,0.2845665961945032,-0.3333333333333333,0.5753347427766032,0.5667371388301621,0.5520789288231148,0.011698379140239605,0.6124031007751938,0.3966173361522199,-0.2975334742776603,-0.027343199436222692,0.3843551797040169,0.4952783650458069,0.5033121916842848,0.4369274136715997,0.2907681465821001,0.4999295278365046,0.4383368569415081,0.46807610993657506,0.5754756871035941,0.655954897815363,0.36109936575052853,0.55630725863284,0.6272022551092319,0.4666666666666667,-0.3351656095842142,0.36152219873150104,0.09556025369978859,0.17011980267794222,-0.11007751937984496,-0.12149400986610288,0.6459478505990134,0.5950669485553206,0.23523608174770966,-0.2266384778012685,-0.08921775898520085,0.007751937984496124,0.013389711064129669,0.6988019732205779,0.5777307963354475,0.09457364341085271,-0.2692036645525018,-0.4169133192389006,-0.13023255813953488,0.27103594080338267,0.2982381959126145,0.7818181818181819,-0.01437632135306554,-0.4558139534883721,0.7130373502466526,0.4832980972515856,0.6741367159971812,0.6042283298097252,-0.1481324876673714,0.30133897110641295,0.00042283298097251583,0.1828047921071177,0.39647639182522904,-0.48188865398167724,-0.3850599013389711,-0.2551092318534179,0.27470049330514446,0.16293164200140944,0.6596194503171248,0.45976039464411556,0.35165609584214236,0.5007751937984496,0.5867512332628612
Anaerostipes caccae et rel.,0.06257928118393234,0.39985905567300917,0.42466525722339676,0.0052149400986610285,-0.013389711064129669,-0.2142353770260747,0.20958421423537701,0.6718816067653277,1.0,-0.2730091613812544,0.23030303030303031,0.5492600422832981,0.3086680761099366,0.27427766032417195,-0.14686398872445383,0.47216349541930935,0.0057787174066243835,-0.2927413671599718,-0.05553206483439042,-0.18097251585623678,-0.11092318534178999,-0.02776603241719521,-0.1040169133192389,-0.3926708949964764,-0.10683579985905567,0.002677942212825934,0.18928823114869628,0.5307963354474983,0.0266384778012685,0.32783650458069064,-0.18252290345313602,0.16391825229034532,0.01226215644820296,-0.08935870331219169,-0.40958421423537705,0.12938689217758986,-0.007470049330514447,0.12304439746300211,-0.25017618040873857,0.42818886539816775,0.09105003523608175,0.4917547568710359,0.49330514446793516,0.19464411557434813,0.6451021846370684,0.17364341085271318,-0.3850599013389711,0.25426356589147286,0.33262861169837915,0.21282593375616632,0.19337561663143057,0.1127554615926709,0.704721634954193,0.24552501761804088,0.40535588442565185,0.4555320648343904,0.1189570119802678,-0.2938689217758985,0.5236081747709654,0.5364341085271318,0.44242424242424244,0.1338971106412967,-0.23692741367159972,0.4656800563777308,-0.2863988724453841,0.23227625088090204,0.1839323467230444,0.3567300916138125,0.03763213530655391,0.257646229739253,0.16673713883016208,-0.11176885130373503,-0.001832276250880902,0.1474277660324172,0.12078928823114869,0.22917547568710359,0.3045806906272023,0.06441155743481325,0.350246652572234,0.009725158562367865,0.24665257223396758,0.2590556730091614,0.24989429175475686,0.08879492600422834,0.15588442565186753,0.38012684989429174,0.10345313601127555,-0.21789992952783652,0.5272727272727272,-0.1471458773784355,0.037209302325581395,-0.14263565891472868,-0.03932346723044398,0.22720225510923187,0.20338266384778012,0.13403805496828752,-0.20704721634954193,-0.06370683579985906,-0.08090204369274137,-0.047216349541930935,0.2879492600422833,0.3168428470754052,0.06863988724453841,-0.1481324876673714,-0.5437632135306554,-0.3223396758280479,0.28851303735024664,0.3113460183227625,0.7224806201550388,0.04129668780831572,-0.41916842847075403,0.35348837209302325,0.3577167019027484,0.41057082452431287,0.3988724453840733,-0.16941508104298802,0.01818181818181818,-0.12276250880902044,-0.007751937984496124,0.19337561663143057,-0.4121212121212121,-0.39365750528541227,-0.15306553911205073,0.11050035236081748,-0.06596194503171247,0.3891472868217054,0.3148696264975335,0.1905567300916138,0.2587737843551797,0.18928823114869628
Anaerotruncus colihominis et rel.,0.3358703312191684,-0.10049330514446793,-0.1237491190979563,0.23565891472868217,0.20902043692741368,0.009866102889358703,0.258491895701198,-0.036081747709654687,-0.2730091613812544,1.0,0.38703312191684286,0.045525017618040876,0.04242424242424243,0.11050035236081748,0.34799154334038057,0.019027484143763214,-0.3733615221987315,-0.029316420014094433,-0.24200140944326992,-0.21733615221987315,-0.24186046511627907,-0.16152219873150106,-0.11444679351656095,0.022128259337561663,0.013107822410147992,0.15391120507399578,0.23481324876673715,-0.14799154334038056,0.16377730796335446,-0.14841437632135307,0.07272727272727272,0.22649753347427767,-0.13417899929527838,0.3058491895701198,0.4332628611698379,0.09372797744890768,0.0828752642706131,0.008597603946441155,0.5943622269203664,0.17138830162085977,0.3357293868921776,-0.32642706131078225,-0.028611698379140238,0.16842847075405215,-0.09443269908386187,0.2971106412966878,0.1522198731501057,-0.38125440451021847,0.05919661733615222,0.09682875264270613,0.25116279069767444,0.3329105003523608,-0.08837209302325581,0.11797040169133192,0.06356589147286822,-0.042142353770260745,0.22931642001409444,0.16279069767441862,0.0408738548273432,-0.12501761804087386,0.14756871035940802,-0.12431289640591967,0.18675123326286117,-0.1730796335447498,-0.14799154334038056,0.0927413671599718,-0.036645525017618044,-0.17618040873854826,0.1770260747004933,0.15532064834390416,0.08851303735024665,0.026779422128259338,0.13854827343199436,0.2474982381959126,0.13220577871740663,0.09386892177589852,0.028893587033121917,0.009443269908386188,-0.059901338971106416,0.2989429175475687,0.041578576462297394,0.09654686398872446,0.1788583509513742,0.26582100070472164,0.2944326990838619,-0.06398872445384074,0.33967582804792107,0.5302325581395348,-0.27244538407329105,0.24848484848484848,-0.39069767441860465,-0.4116983791402396,0.6465116279069767,0.20775193798449612,0.2525722339675828,-0.03579985905567301,0.048343904157857644,-0.06596194503171247,-0.055391120507399576,-0.16377730796335446,0.09682875264270613,0.09682875264270613,0.1010570824524313,0.006060606060606061,0.7496828752642706,0.8297392529950669,0.08090204369274137,-0.3017618040873855,-0.025792811839323467,0.23298097251585623,0.5674418604651162,0.12966878083157152,-0.37350246652572233,-0.28569415081042987,-0.3579985905567301,0.3093727977448908,-0.002677942212825934,-0.0408738548273432,-0.09105003523608175,0.17167019027484143,-0.03312191684284708,0.48047921071176886,0.19041578576462298,0.16885130373502466,-0.14334038054968287,-0.11205073995771671,0.0038054968287526427,-0.07709654686398873,-0.051726568005637776,0.09513742071881606
